company,status,analyst report,rating,industry,platform,Valuation / Cap,security type,momentum,amount raised,start date,close date,annual revenue,revenue multiple,investors,average daily raise,min investment,reg type,minority founders,Women Founders,lgbtq founders,social impact,state
Jack Henry,Active,Pending Review,-,Beauty & Personal Care,Wefunder,"$10,000,000 ",SAFE,Hot,"$116,550 ",2/3/2023,4/30/2023,-,-,29,"$116,550 ",$500 ,RegCF,-,-,-,-,California
The Empowered Cookie,Active,Pending Review,-,"Food, Beverage, & Restaurants",Wefunder,"$3,500,000 ",SAFE,New,-,2/3/2023,4/30/2023,-,-,-,-,$100 ,RegCF,-,-,-,-,California
Super Processor,Active,Pending Review,-,Financial & Insurance Products & Services,Mundial Financial Group,"$70,000,000 ",Equity - Common,New,-,2/2/2023,4/30/2023,-,-,-,-,$510 ,RegCF,-,-,-,-,Nevada
Recovering Bro,Active,Pending Review,-,Healthcare & Pharmaceuticals,Netcapital,"$7,920,000 ",Equity - Common,Cool,"$1,101 ",2/2/2023,4/3/2023,-,-,-,"$1,101 ",$99 ,RegCF,-,-,-,-,Illinois
Mama Bevs Bakery,Active,Pending Review,-,"Food, Beverage, & Restaurants",MainVest,-,Revenue Share,Cold,$100 ,2/2/2023,4/3/2023,-,-,1,$100 ,$100 ,RegCF,-,-,-,-,Wisconsin
Pour Taproom Knoxville,Active,Pending Review,-,"Food, Beverage, & Restaurants",Honeycomb,-,Debt,Cold,-,2/2/2023,3/17/2023,-,-,-,-,$100 ,RegCF,-,-,-,-,Tennessee
Indian River Pioneer Farms,Active,Pending Review,-,Farming & Agriculture,Honeycomb,-,Debt,Warm,$250 ,2/2/2023,3/16/2023,-,-,1,$250 ,$100 ,RegCF,-,-,-,-,Florida
Impakt,Active,Pending Review,-,Fitness & Wellness,Wefunder,"$30,000,000 ",SAFE,Hot,"$77,600 ",2/1/2023,4/30/2023,-,-,-,"$38,800 ",$250 ,RegCF,-,-,-,-,Delaware
Carosh Compliance Solutions,Active,Pending Review,-,"Business Services, Software, & Applications",Wefunder,"$2,000,000 ",Convertible Note,Hot,"$60,400 ",2/1/2023,4/30/2023,-,-,14,"$30,200 ",$100 ,RegCF,-,-,-,-,Indiana
SpongeBath,Active,Pending Review,-,"Consumer Products, Goods & Services",Republic,"$10,000,000 ",SAFE,Hot,"$62,700 ",2/1/2023,4/30/2023,-,-,67,"$31,350 ",$150 ,RegCF,-,-,-,-,New York
Thrivelab,Active,Pending Review,-,Healthcare & Pharmaceuticals,Wefunder,"$17,250,000 ",SAFE,Hot,"$80,260 ",2/1/2023,4/30/2023,-,-,55,"$40,130 ",$100 ,RegCF,-,-,-,-,California
VanLab,Active,Pending Review,-,Travel and Hospitality,StartEngine,"$10,491,813 ",Equity - Common,Warm,"$23,453 ",2/1/2023,4/30/2023,-,-,16,"$11,726 ",$250 ,RegCF,-,-,-,-,California
MeatSoHorny,Active,Pending Review,-,"Food, Beverage, & Restaurants",StartEngine,"$14,980,000 ",Equity - Common,Hot,"$59,261 ",2/1/2023,4/3/2023,-,-,128,"$29,630 ",$101 ,RegCF,-,-,-,-,North Carolina
Xairos,Active,Pending Review,-,"Transportation, Automotive, Aviation, & Aerospace",StartEngine,"$20,000,000 ",Equity - Common,Warm,"$40,566 ",2/1/2023,4/2/2023,-,-,41,"$20,283 ",$250 ,RegCF,-,-,-,-,Colorado
Easy Expense,Active,Pending Review,-,Financial & Insurance Products & Services,Republic,"$6,000,000 ",SAFE,Hot,"$65,875 ",2/1/2023,4/1/2023,-,-,61,"$32,938 ",$100 ,RegCF,-,-,-,-,South Dakota
FibroBiologics,Active,Pending Review,-,Healthcare & Pharmaceuticals,StartEngine,"$252,568,627 ",Equity - Preferred,Hot,"$1,901,342 ",1/31/2023,5/1/2023,-,-,103,"$633,781 ",$499 ,RegCF,-,-,-,-,Texas
Transcend Network,Active,Pending Review,-,"Business Services, Software, & Applications",Wefunder,"$6,000,000 ",SAFE,Hot,"$64,750 ",1/31/2023,4/30/2023,-,-,23,"$21,583 ",$100 ,RegCF,-,-,-,-,Florida
CLIP,Active,Pending Review,-,"Transportation, Automotive, Aviation, & Aerospace",Wefunder,"$12,000,000 ",SAFE,Cold,-,1/31/2023,4/30/2023,-,-,-,-,$250 ,RegCF,-,-,-,-,New York
Vikktoria,Active,Pending Review,-,"Consumer Products, Goods & Services",Wefunder,"$7,000,000 ",SAFE,Warm,"$7,500 ",1/31/2023,4/30/2023,-,-,-,"$2,500 ",$100 ,RegCF,-,-,-,-,California
Innovative Recordings,Active,Pending Review,-,"Media, Entertainment & Publishing",SMBX,-,Debt,Hot,"$6,250 ",1/31/2023,3/20/2023,-,-,-,"$2,083 ",$10 ,RegCF,-,-,-,-,District of Columbia
The Pickled Chef,Active,Pending Review,-,"Food, Beverage, & Restaurants",Honeycomb,-,Debt,Hot,"$9,150 ",1/31/2023,3/16/2023,-,-,10,"$3,050 ",$100 ,RegCF,-,-,-,-,Pennsylvania
Assetcoin Capital Fund,Active,Pending Review,1.11,Real Estate & Construction,Andes Capital,"$50,000,000 ",Equity - Common,New,-,1/30/2023,1/31/2024,-,-,-,-,$100 ,RegCF,Yes,Yes,-,Yes,Wyoming
Ranch Rider Spirits,Active,Pending Review,4.18,"Alcohol, Tobacco, & Recreational Drugs",Wefunder,"$36,000,000 ",Convertible Note,Cold,-,1/30/2023,4/30/2023,"$5,137,983 ",7x,-,-,$250 ,RegCF,-,-,-,-,Texas
Geoship,Active,Pending Review,3.81,Real Estate & Construction,Republic,"$45,000,000 ",SAFE,Warm,"$109,869 ",1/30/2023,4/30/2023,"$2,384 ",1000x+,106,"$27,467 ",$432 ,RegCF,-,-,-,-,California
Decentralized Crypto Financial,Active,Pending Review,-,Financial & Insurance Products & Services,Self Managed,-,Equity - Common,New,-,1/30/2023,1/30/2024,-,-,-,-,-,RegA+,-,-,-,-,Virginia
GEMXX Corp.,Active,Pending Review,-,Industrial Services,Dealmaker Securities,"$77,299,742 ",Equity - Common,New,-,1/30/2023,1/30/2024,-,-,-,-,"$2,500 ",RegA+,-,-,-,-,Nevada
Wicked BOLD,Active,Pending Review,-,"Food, Beverage, & Restaurants",MainVest,-,Revenue Share,Hot,"$13,700 ",1/30/2023,3/31/2023,-,-,12,"$3,425 ",$100 ,RegCF,-,-,-,-,Texas
Twisted Eggroll,Active,Pending Review,-,"Food, Beverage, & Restaurants",Honeycomb,-,Debt,Cool,$250 ,1/30/2023,3/16/2023,-,-,1,$63 ,$100 ,RegCF,-,-,-,-,Illinois
Harvie,Active,Pending Review,-,"Food, Beverage, & Restaurants",Honeycomb,-,Debt,Hot,"$12,850 ",1/30/2023,3/16/2023,-,-,7,"$3,213 ",$100 ,RegCF,-,-,-,-,Pennsylvania
Kopitiam,Active,Pending Review,-,"Food, Beverage, & Restaurants",Honeycomb,-,Debt,Cold,$100 ,1/30/2023,3/1/2023,-,-,1,$25 ,$100 ,RegCF,-,-,-,-,New York
AEV Charging,Active,Pending Review,2.13,"Transportation, Automotive, Aviation, & Aerospace",StartEngine,"$10,000,000 ",Equity - Common,Hot,"$107,220 ",1/27/2023,3/28/2023,-,-,137,"$15,317 ",$250 ,RegCF,Yes,-,-,-,California
Full Circle Brewing,Active,Pending Review,4.83,"Alcohol, Tobacco, & Recreational Drugs",StartEngine,"$34,809,118 ",Equity - Common,Cold,"$33,508 ",1/27/2023,3/27/2023,"$3,798,277 ",9.2x,44,"$4,787 ",$250 ,RegCF,-,-,-,-,California
Dokkaebier,Active,Pending Review,2.16,"Alcohol, Tobacco, & Recreational Drugs",Wefunder,"$8,000,000 ",SAFE,Hot,"$107,442 ",1/26/2023,4/30/2023,"$95,828 ",83.5x,97,"$13,430 ",$100 ,RegCF,Yes,-,-,-,California
Greener Process Systems,Active,Pending Review,3.69,"Energy, Power, & Natural Resources",Raise Green,"$15,000,000 ",SAFE,Cold,"$2,700 ",1/26/2023,4/27/2023,"$29,941 ",501x,-,$338 ,$500 ,RegCF,-,-,-,Yes,Florida
Riders Share,Active,Pending Review,3.67,"Transportation, Automotive, Aviation, & Aerospace",Republic,"$25,000,000 ",SAFE,Warm,"$78,983 ",1/26/2023,3/27/2023,"$1,968,009 ",12.7x,105,"$9,873 ",$150 ,RegCF,Yes,-,-,-,Texas
Sully’s Golf and Gather,Active,Pending Review,-,"Media, Entertainment & Publishing",MainVest,-,Revenue Share,Warm,"$1,000 ",1/26/2023,3/31/2023,-,-,1,$125 ,$100 ,RegCF,-,-,-,-,North Carolina
Wine Shop,Active,Pending Review,-,"Food, Beverage, & Restaurants",MainVest,-,Revenue Share,Hot,"$4,100 ",1/26/2023,3/31/2023,-,-,9,$513 ,$100 ,RegCF,-,-,-,-,Indiana
Booking Ninjas,Active,Pending Review,-,Real Estate & Construction,SMBX,-,Debt,Cold,"$4,450 ",1/26/2023,3/27/2023,-,-,-,$556 ,$10 ,RegCF,-,-,-,-,New York
Prime Harvest,Active,Pending Review,-,"Alcohol, Tobacco, & Recreational Drugs",Dalmore Group,-,Equity - Common,-,-,1/25/2023,1/25/2024,-,-,-,-,$420 ,RegA+,-,-,-,-,California
Circle Optics,Active,Pending Review,-,"Media, Entertainment & Publishing",Wefunder,"$20,000,741 ",Equity - Preferred,Cool,"$184,975 ",1/25/2023,4/30/2023,"$424,484 ",47.1x,59,"$20,553 ",$360 ,RegCF,Yes,-,-,-,New York
Hommage Bakehouse,Active,Pending Review,-,"Food, Beverage, & Restaurants",MainVest,-,Revenue Share,Hot,"$16,000 ",1/25/2023,3/25/2023,-,-,9,"$1,778 ",$100 ,RegCF,-,-,-,-,California
Wallabing,Active,Pending Review,1.87,Travel and Hospitality,StartEngine,"$6,062,302 ",Equity - Common,Cool,"$7,539 ",1/24/2023,5/1/2023,-,-,23,$754 ,$175 ,RegCF,-,Yes,-,Yes,Texas
Aquagga,Active,Pending Review,4.97,"Energy, Power, & Natural Resources",Wefunder,"$13,000,000 ",SAFE,Hot,"$51,050 ",1/24/2023,4/30/2023,"$301,685 ",43.1x,13,"$5,105 ",$250 ,RegCF,-,-,-,Yes,Washington
Serve,Active,Pending Review,2.93,"Logistics, Delivery, & Supply Chain",Dealmaker Securities,"$350,000,000 ",SAFE,Cold,-,1/24/2023,4/30/2023,-,-,-,-,"$1,000 ",RegCF,Yes,Yes,-,Yes,California
Kidskin,Active,Pending Review,4.45,Beauty & Personal Care,StartEngine,"$9,800,000 ",Equity - Common,Cold,"$3,134 ",1/24/2023,3/24/2023,"$992,732 ",9.9x,8,$313 ,$249 ,RegCF,Yes,Yes,-,-,California
Tablewine,Active,No Report,2.65,"Food, Beverage, & Restaurants",Honeycomb,-,Debt,Cold,-,1/24/2023,3/9/2023,-,-,-,-,$100 ,RegCF,-,Yes,-,-,California
Dymicron,Active,Pending Review,-,Healthcare & Pharmaceuticals,Dealmaker Securities,"$28,820,535 ",Equity - Common,-,-,1/24/2023,1/24/2024,"$104,292 ",276.3x,-,-,"$1,001 ",RegA+,-,-,-,-,Utah
Discount Print USA,Active,Pending Review,-,"Consumer Products, Goods & Services",Self Managed,-,Equity - Common,-,-,1/24/2023,1/24/2024,-,-,-,-,$250 ,RegA+,-,-,-,-,Nevada
Med-X,Active,Pending Review,4.83,"Consumer Products, Goods & Services",PicMii,"$43,211,544 ",Equity - Common,Cold,-,1/23/2023,5/31/2023,"$1,033,750 ",41.8x,-,-,$500 ,RegCF,Yes,Yes,-,Yes,California
Sugarfina,Active,Pending Review,4.13,"Food, Beverage, & Restaurants",Republic,"$125,000,000 ",SAFE,Cold,$500 ,1/23/2023,4/30/2023,"$30,607,926 ",4.1x,1,$45 ,$500 ,RegCF,-,Yes,-,-,California
Coils to Locs,Active,Pending Review,3.1,"Consumer Products, Goods & Services",Wefunder,"$2,000,000 ",Equity - Preferred,Warm,"$59,050 ",1/23/2023,4/30/2023,"$29,364 ",68.1x,93,"$5,368 ",$100 ,RegCF,Yes,Yes,-,Yes,Massachusetts
TransSiP,Active,Pending Review,4.54,"Business Services, Software, & Applications",StartEngine,"$32,800,000 ",Equity - Common,Warm,"$143,879 ",1/23/2023,3/24/2023,"$437,012 ",75.1x,63,"$13,080 ",$328 ,RegCF,Yes,-,-,-,California
